#lol
Vega,30550000000.0,1989100000000000000000000000000.0,497275000000000000000000000000.0,30550000000.0,6955000000.0,orange
Cap,-30550000000.0,1989100000000000000000000000000.0,497275000000000000000000000000.0,30550000000.0,6955000000.0,red
Planet 0080FF,0.0,5972190000000000000000000.0,0.0,0.0,955000000.0,blue

Vega,30550000000.0,1989100000000000000000000000000.0,497275000000000000000000000000.0,27550000000.0,6955000000.0,orange
Cap,-30550000000.0,1989100000000000000000000000000.0,497275000000000000000000000000.0,27550000000.0,6955000000.0,red
Planet 0080FF,0.0,5972190000000000000000000.0,0.0,0.0,955000000.0,blue

Vega,-30550000000.0,1989100000000000000000000000000.0,497275000000000000000000000000.0,30550000000.0,6955000000.0,orange
Cap,30550000000.0,1989100000000000000000000000000.0,497275000000000000000000000000.0,30550000000.0,6955000000.0,red
Planet 0080FF,160000000000,5972190000000000000000000.0,3978200000000000000000000000000.0,160000000000,955000000.0,blue

Vega,-30550000000.0,1989100000000000000000000000000.0,497275000000000000000000000000.0,30550000000.0,6955000000.0,orange
Cap,30550000000.0,1989100000000000000000000000000.0,497275000000000000000000000000.0,30550000000.0,6955000000.0,red
Planet 0080FF,160000000000,5972190000000000000000000.0,3978200000000000000000000000000.0,150000000000,955000000.0,blue

Vega,30550000000.0,1989100000000000000000000000000.0,497275000000000000000000000000.0,27550000000.0,6955000000.0,orange
Cap,-30550000000.0,1989100000000000000000000000000.0,497275000000000000000000000000.0,27550000000.0,6955000000.0,red
Planet 0080FF,160000000000,5972190000000000000000000.0,3978200000000000000000000000000.0,160000000000,955000000.0,blue

Vega,30550000000.0,1989100000000000000000000000000.0,497275000000000000000000000000.0,27550000000.0,6955000000.0,orange
Cap,-30550000000.0,1989100000000000000000000000000.0,497275000000000000000000000000.0,27550000000.0,6955000000.0,red
Planet 0080FF,160000000000,5972190000000000000000000.0,3978200000000000000000000000000.0,150000000000,955000000.0,blue

Vega,30550000000.0,2983650000000000000000000000000.0,93766601826020000000000000000.0,30550000000.0,6955000000.0,orange
Cap,-33550000000.0,1326066666666666666666666666666.0,745912500000000000000000000000.0,33550000000.0,6955000000.0,red
Planet 0080FF,160000000000,5972190000000000000000000.0,3978200000000000000000000000000.0,160000000000,955000000.0,blue
#
#Vega,30550000000.0,2983650000000000000000000000000.0,497275000000000000000000000000.0,27550000000.0,6955000000.0,orange
#Cap,-30550000000.0,1326066666666666666666666666666.0,497275000000000000000000000000.0,27550000000.0,6955000000.0,red
#Planet 0080FF,160000000000,5972190000000000000000000.0,3978200000000000000000000000000.0,150000000000,955000000.0,blue

Vega,30550000000.0,2983650000000000000000000000000.0,497275000000000000000000000000.0,30550000000.0,6955000000.0,orange
Cap,-30550000000.0,1326066666666666666666666666666.0,497275000000000000000000000000.0,30550000000.0,6955000000.0,red
Planet 0080FF,-160000000000,5972190000000000000000000.0,3978200000000000000000000000000.0,160000000000,955000000.0,blue
